Dist,Fairway,Rough,Sand,Recovery,Green,Tee
350,3.7,3.74,3.81,4.5,,3.945
351,3.7,3.74,3.81,4.506,,3.95
352,3.7,3.74,3.81,4.512,,3.955
353,3.7,3.74,3.81,4.518,,3.96
354,3.7,3.74,3.81,4.524,,3.97
355,3.7,3.74,3.81,4.53,,3.98
356,3.7,3.74,3.81,4.536,,3.985
357,3.7,3.74,3.81,4.542,,3.99
358,3.7,3.74,3.81,4.548,,3.997
359,3.7,3.74,3.81,4.554,,4.003
360,3.7,3.74,3.81,4.56,,4.01
361,3.7,3.74,3.81,4.565,,4.012
362,3.7,3.74,3.81,4.57,,4.014
363,3.7,3.74,3.81,4.575,,4.016
364,3.7,3.74,3.81,4.58,,4.018
365,3.7,3.74,3.81,4.585,,4.02
366,3.7,3.74,3.81,4.59,,4.02
367,3.7,3.74,3.81,4.595,,4.02
368,3.7,3.74,3.81,4.6,,4.02
369,3.7,3.74,3.81,4.605,,4.02
370,3.7,3.74,3.81,4.61,,4.02
371,3.7,3.74,3.81,4.615,,4.022
372,3.7,3.74,3.81,4.62,,4.023
373,3.7,3.74,3.81,4.625,,4.025
374,3.7,3.74,3.81,4.63,,4.027
375,3.7,3.74,3.81,4.635,,4.028
376,3.7,3.74,3.81,4.64,,4.03
377,3.7,3.74,3.81,4.645,,4.03
378,3.7,3.74,3.81,4.65,,4.03
379,3.7,3.74,3.81,4.655,,4.032
380,3.7,3.74,3.81,4.66,,4.033
381,3.7,3.74,3.81,4.664,,4.035
382,3.7,3.74,3.81,4.669,,4.037
383,3.7,3.74,3.81,4.674,,4.038
384,3.7,3.74,3.81,4.678,,4.04
385,3.7,3.74,3.81,4.682,,4.04
386,3.7,3.74,3.81,4.687,,4.04
387,3.7,3.74,3.81,4.692,,4.04
388,3.7,3.74,3.81,4.696,,4.04
389,3.7,3.74,3.81,4.7,,4.04
390,3.7,3.74,3.81,4.705,,4.05
391,3.7,3.74,3.81,4.71,,4.05
392,3.7,3.74,3.81,4.714,,4.05
393,3.7,3.74,3.81,4.718,,4.05
394,3.7,3.74,3.81,4.723,,4.052
395,3.7,3.74,3.81,4.728,,4.054
396,3.7,3.74,3.81,4.732,,4.056
397,3.7,3.74,3.81,4.736,,4.058
398,3.7,3.74,3.81,4.741,,4.06
399,3.7,3.74,3.81,4.746,,4.06
400,3.7,3.74,3.81,4.75,,4.06
401,3.7,3.74,3.81,4.752,,4.062
402,3.7,3.74,3.81,4.754,,4.064
403,3.7,3.74,3.81,4.756,,4.066
404,3.7,3.74,3.81,4.758,,4.068
405,3.7,3.74,3.81,4.76,,4.07
406,3.7,3.74,3.81,4.762,,4.07
407,3.7,3.74,3.81,4.764,,4.07
408,3.7,3.74,3.81,4.766,,4.07
409,3.7,3.74,3.81,4.768,,4.07
410,3.7,3.74,3.81,4.77,,4.07
411,3.7,3.74,3.81,4.772,,4.07
412,3.7,3.74,3.81,4.774,,4.07
413,3.7,3.74,3.81,4.776,,4.072
414,3.7,3.74,3.81,4.778,,4.074
415,3.7,3.74,3.81,4.78,,4.076
416,3.7,3.74,3.81,4.782,,4.078
417,3.7,3.74,3.81,4.784,,4.08
418,3.7,3.74,3.81,4.786,,4.08
419,3.7,3.74,3.81,4.788,,4.08
420,3.7,3.74,3.81,4.79,,4.08
421,3.7,3.74,3.81,4.792,,4.08
422,3.7,3.74,3.81,4.795,,4.083
423,3.7,3.74,3.81,4.798,,4.086
424,3.7,3.74,3.81,4.8,,4.089
425,3.7,3.74,3.81,4.802,,4.092
426,3.7,3.74,3.81,4.805,,4.095
427,3.7,3.74,3.81,4.808,,4.098
428,3.7,3.74,3.81,4.81,,4.101
429,3.7,3.74,3.81,4.812,,4.104
430,3.7,3.74,3.81,4.815,,4.107
431,3.7,3.74,3.81,4.818,,4.11
432,3.7,3.74,3.81,4.82,,4.11
433,3.7,3.74,3.81,4.822,,4.11
434,3.7,3.74,3.81,4.825,,4.12
435,3.7,3.74,3.81,4.828,,4.12
436,3.7,3.74,3.81,4.83,,4.122
437,3.7,3.74,3.81,4.832,,4.124
438,3.7,3.74,3.81,4.835,,4.126
439,3.7,3.74,3.81,4.837,,4.128
440,3.7,3.74,3.81,4.84,,4.13
441,3.7,3.74,3.81,4.844,,4.132
442,3.7,3.74,3.81,4.849,,4.134
443,3.7,3.74,3.81,4.853,,4.136
444,3.7,3.74,3.81,4.858,,4.138
445,3.7,3.74,3.81,4.862,,4.14
446,3.7,3.74,3.81,4.867,,4.142
447,3.7,3.74,3.81,4.872,,4.143
448,3.7,3.74,3.81,4.876,,4.145
449,3.7,3.74,3.81,4.88,,4.147
450,3.7,3.74,3.81,4.885,,4.148
451,3.7,3.74,3.81,4.89,,4.15
452,3.7,3.74,3.81,4.894,,4.15
453,3.7,3.74,3.81,4.898,,4.153
454,3.7,3.74,3.81,4.903,,4.156
455,3.7,3.74,3.81,4.908,,4.159
456,3.7,3.74,3.81,4.912,,4.161
457,3.7,3.74,3.81,4.916,,4.164
458,3.7,3.74,3.81,4.921,,4.167
459,3.7,3.74,3.81,4.926,,4.17
460,3.7,3.74,3.81,4.93,,4.171
461,3.7,3.74,3.81,4.935,,4.173
462,3.7,3.74,3.81,4.941,,4.174
463,3.7,3.74,3.81,4.946,,4.176
464,3.7,3.74,3.81,4.952,,4.177
465,3.7,3.74,3.81,4.958,,4.179
466,3.7,3.74,3.81,4.963,,4.18
467,3.7,3.74,3.81,4.968,,4.182
468,3.7,3.74,3.81,4.974,,4.185
469,3.7,3.74,3.81,4.98,,4.188
470,3.7,3.74,3.81,4.985,,4.19
471,3.7,3.74,3.81,4.99,,4.192
472,3.7,3.74,3.81,4.996,,4.195
473,3.7,3.74,3.81,5.002,,4.198
474,3.7,3.74,3.81,5.007,,4.2
475,3.7,3.74,3.81,5.012,,4.202
476,3.7,3.74,3.81,5.018,,4.205
477,3.7,3.74,3.81,5.024,,4.208
478,3.7,3.74,3.81,5.029,,4.21
479,3.7,3.74,3.81,5.034,,4.212
480,3.7,3.74,3.81,5.04,,4.215
481,3.7,3.74,3.81,5.046,,4.217
482,3.7,3.74,3.81,5.053,,4.22
483,3.7,3.74,3.81,5.06,,4.231
484,3.7,3.74,3.81,5.066,,4.242
485,3.7,3.74,3.81,5.072,,4.253
486,3.7,3.74,3.81,5.079,,4.264
487,3.7,3.74,3.81,5.086,,4.275
488,3.7,3.74,3.81,5.092,,4.286
489,3.7,3.74,3.81,5.098,,4.297
490,3.7,3.74,3.81,5.105,,4.308
491,3.7,3.74,3.81,5.112,,4.319
492,3.7,3.74,3.81,5.118,,4.33
493,3.7,3.74,3.81,5.124,,4.34
494,3.7,3.74,3.81,5.131,,4.35
